menu_group,category,subcategory,suggested_url,page_type,query_count,total_volume,query_1,volume_1,query_2,volume_2,query_3,volume_3,query_4,volume_4,query_5,volume_5
0. Главная,Главная,Из фото в промт,/,homepage,20,6056,создать промт по фото,1930,сделать промт по фото,1196,написать промт по фото,1175,создать промт по фото бесплатно,455,создать промт по фото онлайн,302
1. Инструменты,ChatGPT,Общие,/promty-chatgpt/,tool_landing,94,15574,промты для чата gpt для фото,3384,промты для chatgpt для фото,1602,промты для гпт для фото,1577,промты для фото в gpt,1477,промт для gpt обработка фото,622
1. Инструменты,Gemini,Общие,/promty-gemini/,tool_landing,31,2357,промты для фото gemini,1183,промты для гемини фото,422,промты для обработки фото gemini,83,промты для фото gemini женские,75,джемини промт фото,65
1. Инструменты,Grok,Общие,/promty-grok/,tool_landing,2,334,промты для грок фото,219,промты для фото grok,115,,,,,,
1. Инструменты,Nano Banana,Общие,/promty-nano-banana/,tool_landing,45,10276,промт для фото нано,2115,промты для фото банана,2019,промты для фото banana,1066,промты фото для nano,1000,промты для фото nano banana,899
1. Инструменты,Perplexity,Общие,/promty-perplexity/,tool_landing,1,13,промты для фото perplexity,13,,,,,,,,
1. Инструменты,Sora,Общие,/promty-sora/,tool_landing,2,80,промты для sora фото,41,промты для сора фото,39,,,,,,
1. Инструменты,Алиса,Общие,/promty-alisa/,tool_landing,1,1713,промты для фото алиса,1713,,,,,,,,
2. Сценарии,Видео из фото,Общие,/promt-video-foto/,leaf,3,389,промт для видео по фото,342,сделать видео из фото по промту,42,подборка популярных промт для видео по фото,5,,,,
2. Сценарии,Замена лица,В профиль,/promty-foto-profil-litsa/,leaf,1,47,промты для фото в профиль лица,47,,,,,,,,
2. Сценарии,Замена лица,Общие,/promty-foto-litsa/,leaf_split,5,4630,промты для фото лица,3888,промт для замены лица на фото,440,промт для сохранения лица на фото,146,промт заменить лица на фото,92,промты для ии фото без лица,64
2. Сценарии,Замена лица,Общие,/promt-krasivogo-foto-litsa/,leaf_split,2,88,промт для красивого фото лица,63,промт для переноса лица на фото,25,,,,,,
2. Сценарии,Замена лица,Пары,/promt-foto-pary-blizko-litsa-chb/,leaf,1,7,промт фото пары близко лица чб,7,,,,,,,,
2. Сценарии,Замена лица,Семья,/promt-foto-litsa-semi/,leaf,2,97,промт для фото лица семьи,61,промт на семейное фото лица,36,,,,,,
2. Сценарии,Обработка фото,В горах,/promt-obrabotki-gornolyzhnyh-foto/,leaf,1,6,промт для обработки горнолыжных фото,6,,,,,,,,
2. Сценарии,Обработка фото,В стиле,/promt-obrabotki-foto-stile/,leaf,5,444,промт для обработки фото в стиле,370,промт для обработки фото в стиле ретро,37,промт для обработки фото в стиле гта,22,промт для обработки фото в стиле ссср,8,промт для изменения фото в стиле аниме,7
2. Сценарии,Обработка фото,В форме,/promty-obrabotki-svoego-foto/,leaf,1,8,уже написанные промты для обработки своего фото,8,,,,,,,,
2. Сценарии,Обработка фото,Влюбленные,/promt-obrabotki-foto-vlyublennyh/,leaf,1,6,промт для обработки фото влюбленных,6,,,,,,,,
2. Сценарии,Обработка фото,Девушки и женщины,/promty-neyroseti-obrabotki-foto-zhenskie/,leaf,2,147,промты для нейросети для обработки фото женские,80,промты для редактирования фото девушки,67,,,,,,
2. Сценарии,Обработка фото,Дети,/promty-obrabotki-detskih-foto/,leaf,3,71,промты для обработки детских фото,40,промты для нейросети для обработки фото детские,20,промт для обработки фото мальчика,11,,,,
2. Сценарии,Обработка фото,Для бизнеса / профессий,/promt-professionalnoy-obrabotki-foto/,leaf,5,220,промт для профессиональной обработки фото,99,промт для обработки фото наращивания ресниц,59,промт для обработки фото маникюра,42,промт для обработки фото интерьера,13,промты для редакторов фото для турагентов,7
2. Сценарии,Обработка фото,Мужчины,/promt-obrabotki-foto-muzhchiny/,leaf,3,270,промт для обработки фото мужчины,146,промты для нейросети для обработки фото мужские,94,промты для нейросети для обработки фото мужчины,30,,,,
2. Сценарии,Обработка фото,На документы,/promt-obrabotki-foto-dokumenty/,leaf,1,18,промт для обработки фото на документы,18,,,,,,,,
2. Сценарии,Обработка фото,На паспорт,/promt-obrabotki-foto-pasport/,leaf,2,54,промт для обработки фото на паспорт,45,промт для редактирования фото на паспорт,9,,,,,,
2. Сценарии,Обработка фото,Новый год,/promt-peredelki-foto/,leaf,1,75,промт для переделки фото,75,,,,,,,,
2. Сценарии,Обработка фото,Общие,/promt-obrabotki-foto/,leaf_split,5,10773,промт для обработки фото,6190,промты для нейросети для обработки фото,1674,промты для изменения фото,1198,промт для редактирования фото,1065,готовые промты для обработки фото,646
2. Сценарии,Обработка фото,Общие,/promt-ii-obrabotki-foto/,leaf_split,5,2085,промт для ии для обработки фото,565,промты для нейросети для обработки фото готовые,454,промт для ретуши фото,376,промт для обработки фото примеры,364,промт для фото без изменения лица,326
2. Сценарии,Обработка фото,Общие,/promty-neyroseti-obrabotki-foto-primery/,leaf_split,5,982,промты для нейросети для обработки фото примеры,243,промты для обработки фото на русском,213,промты для редактирования фото в ии,181,промты для обработки фото chat,180,промт для обработки фото для девушек,165
2. Сценарии,Обработка фото,Общие,/promty-obrabotki-muzhskih-foto/,leaf_split,5,640,промты для обработки мужских фото,146,промт для изменения стиля фото,144,изменить фото по промту,119,редактор фото по промту,118,промты для пар для обработки фото,113
2. Сценарии,Обработка фото,Общие,/promt-izmeneniya-fona-foto/,leaf_split,5,515,промт для изменения фона на фото,110,промты для преобразования фото,104,промты для ии изменения фото,102,промт для обработки женских фото,101,промт отредактировать фото,98
2. Сценарии,Обработка фото,Общие,/promt-ii-izmenit-foto/,leaf_split,5,389,промт ии изменить фото,96,промт для красивой обработки фото,81,ии редактор фото по промту,76,крутые промты для обработки фото,69,подробный промт для обработки фото,67
2. Сценарии,Обработка фото,Общие,/promt-obrabotki-foto-detey/,leaf_split,5,280,промт для обработки фото детей,65,промт для обработки фото лица,65,интересные промты для обработки фото,52,редактировать фото по промту,51,лучшие промты для обработки фото,47
2. Сценарии,Обработка фото,Общие,/promt-korrektsii-foto/,leaf_split,5,210,промт для коррекции фото,46,промт для ретуши фото лица,45,промт для редакции фото,44,промт для редактирования фото примеры,41,преобразовать фото в промт,34
2. Сценарии,Обработка фото,Общие,/promt-ii-retush-foto/,leaf_split,5,132,промт для ии ретушь фото,34,готовые промты для редактирования фото,26,изменить фото по промту бесплатно,25,промт для обработки фото без изменения,25,редактор фото по промту бесплатно,22
2. Сценарии,Обработка фото,Общие,/promt-obrabotki-foto/,leaf_split,5,99,нужен промт для обработки фото,21,промты для нейросети для обработки фото детей,21,нейросеть для редактирования фото по промту,20,промт для изменения размера фото,19,нейросеть для изменения фото по промту,18
2. Сценарии,Обработка фото,Общие,/luchshie-promty-redaktirovaniya-foto/,leaf_split,5,83,лучшие промты для редактирования фото,17,промт для обработки старого фото,17,смешные промты для обработки фото,17,промт для обработки фото ногтей,16,редактировать фото онлайн с помощью промтов бесплатно,16
